day,S,price,delta,delta_shares,hedge_pnl,option_pnl,total_pnl
0,20000.0,920.6948093268329,0.5680383108306841,-0.0,-0.0,0.0,0.0
1,20127.948688915298,986.6335694598347,0.592556483981401,-0.5680383108306841,-72.67975712444637,65.93876013300178,-6.7409969914445895
2,20095.30915462809,959.019860811497,0.5858448433576879,-0.592556483981401,19.340767676019095,38.32505148466407,-15.013937963763198
3,20262.3719730197,1051.138917803335,0.6180898991268643,-0.5858448433576879,-97.87289067152803,130.44410847650215,-20.76777164345316
4,20657.38719417097,1301.410213723775,0.6910890405192004,-0.6180898991268643,-244.1549181949636,380.7154043969422,-14.651393917976748
5,20598.98867614311,1252.8359112369126,0.6812028714419767,-0.6910890405192004,40.358575791615465,332.14110191007967,-22.86712061322379
6,20540.759499707332,1204.8826718552064,0.6710204201463987,-0.6812028714419767,39.66588218975459,284.18786252837344,-31.154477805175418
7,20956.03013110344,1490.4269567896754,0.7438011323593025,-0.6710204201463987,-278.6550735538779,569.7321474628425,-24.265266424584297
8,21162.1509972247,1638.9093115882151,0.7770631477936817,-0.7438011323593025,-153.3129336238723,718.2145022613822,-29.09584524991692
9,21039.85470269341,1536.6538240194168,0.7593614889141631,-0.7770631477936817,95.03194359198757,615.9590146925839,-36.31938922672771
10,21186.68977562163,1641.6043657822265,0.7832802639691027,-0.7593614889141631,-111.50089960359367,720.9095564553936,-42.86974706751164
11,21065.859085797743,1539.6526954793753,0.7658721097322702,-0.7832802639691027,94.64429462082371,618.9578861525424,-50.17712274953908
12,20945.107386811258,1439.7418910364431,0.7472598607883069,-0.7658721097322702,92.48035845653551,519.0470817096102,-57.60756873593573
13,21011.555896762562,1481.1823949323552,0.7595605509406814,-0.7472598607883069,-49.65430429580185,560.4875856055223,-65.82136913582542
14,20513.56858677697,1115.7453627154573,0.6693895668894355,-0.7595605509406814,378.251515534123,195.0505533886244,-53.00688581860038
15,20074.968186769536,832.9132786418195,0.5764454622746217,-0.6693895668894355,293.59453179851033,-87.78153068501342,-42.244438093727865
16,19935.629655114575,745.5876176934598,0.5442975907172084,-0.5764454622746217,80.32106429251107,-175.10719163337308,-49.24903474957645
17,19685.201108459933,607.5549035496679,0.48470343549736566,-0.5442975907172084,136.30765459093396,-313.13990577716504,-50.97409430243442
18,19765.645056969453,638.1406727835492,0.5024677816445479,-0.48470343549736566,-38.991458207537946,-282.5541365432837,-59.37978327609102
19,19543.140437929815,523.3533270415319,0.4473997885103119,-0.5024677816445479,111.80140233451253,-397.341482285301,-62.365726683595824
20,19200.76353325137,376.06860052293086,0.36290301656368934,-0.4473997885103119,153.17935474395094,-544.626208803902,-56.47109845824593
21,19560.936309359335,513.256731069685,0.44794002307988695,-0.36290301656368934,-130.70778693369834,-407.43807825714794,-49.99075484519017
22,19507.696219780828,480.70042326395287,0.4326775112763081,-0.44794002307988695,23.848366954571556,-439.99438606288004,-58.69869569635074
23,19526.62440983094,479.75700724192393,0.4352885641822854,-0.4326775112763081,-8.189802163847386,-440.937802084909,-67.83191388222707
24,19181.529223335485,336.092487921519,0.34648198001310754,-0.4352885641822854,150.2159882358246,-584.6023214053139,-61.28044496680741
25,19052.689378710602,285.48923101188575,0.3119928691455823,-0.34648198001310754,44.64068447021058,-635.2055783149472,-67.24301740623014
26,19081.605481925173,286.4918145270922,0.31540732537671845,-0.3119928691455823,-9.02161800642386,-634.2029947997407,-75.26205189744758
27,18809.135804002388,202.2084155016537,0.24795469157554176,-0.31540732537671845,85.93893235988159,-718.4863938251792,-73.60651856300444
28,18900.62700833492,218.3280174429783,0.26460521154122163,-0.24795469157554176,-22.685673352147642,-702.3667918838546,-80.17258997382748
29,18760.372659913945,176.5222853886644,0.22860552137181156,-0.26460521154122163,37.11203153350818,-744.1725239381685,-84.86629049463318
30,18693.78021642694,155.13906414084067,0.20968437094540288,-0.22860552137181156,15.223400262769227,-765.5557451859922,-91.02611147968764
31,18554.811150768724,122.01482684961275,0.1765667138442201,-0.20968437094540288,29.13964111341362,-798.6799824772202,-95.01070765750194
32,18995.168851633152,212.4448792319563,0.2699065726001436,-0.1765667138442201,-77.75251215762812,-708.2499300948766,-82.33316743278647
33,18994.200095585773,204.10133565496926,0.265022688501696,-0.2699065726001436,0.2614736244338441,-716.5934736718636,-90.41523738533965
34,18744.995627563774,138.6453376420568,0.2012211498231576,-0.265022688501696,66.04483810182505,-782.0494716847761,-89.8263972964271
35,18942.516698433963,174.96775685918328,0.2422620201071405,-0.2012211498231576,-39.745416994800806,-745.7270524676496,-93.24939507410147
36,18655.60840684265,108.75600294678225,0.17128669602783853,-0.2422620201071405,69.50698230640005,-811.9388063800507,-89.9541666801025
37,18706.99094496676,111.20548868208971,0.17653552721318502,-0.17128669602783853,-8.801145188803478,-809.4893206447432,-96.30582613359854
38,18252.952104283253,46.71992732565309,0.08990721823990258,-0.17653552721318502,80.15398611532643,-873.9748820011798,-80.6374013747087
39,17952.19339847873,22.753422337795087,0.05023561284363578,-0.08990721823990258,27.040378600318054,-897.9413869890378,-77.56352776224867
40,17998.916622246492,22.50974988235862,0.05055961928607471,-0.05023561284363578,-2.3471697800039313,-898.1850594444743,-80.15436999768906
41,18169.31932883186,29.286323162249573,0.06406282278550213,-0.05055961928607471,-8.61549597027299,-891.4084861645833,-81.99329268807105
42,18210.757765275666,28.618804377812467,0.06392147551094271,-0.06406282278550213,-2.654663210407752,-892.0760049490204,-85.31547468291592
43,18186.40835986907,23.935732477289775,0.056041442223440735,-0.06392147551094271,1.5564499214037362,-896.7590768495431,-88.44209666203483
44,18119.70498518372,17.747533835817762,0.044368456090738334,-0.056041442223440735,3.738153318537683,-902.9472754910151,-90.89214198496916
45,17787.419553552772,6.041359107006656,0.017858975103019308,-0.044368456090738334,14.742991582909655,-914.6534502198263,-87.8553251308706
46,17628.930022164655,2.945270257666465,0.009677899875426114,-0.017858975103019308,2.830460595149579,-917.7495390691664,-88.12095338506117
47,17529.00343903509,1.5946308417330215,0.005721797374794179,-0.009677899875426114,0.9670794664213938,-919.1001784850998,-88.50451333457318
48,17766.139745674354,2.762229151663007,0.009588164675584342,-0.005721797374794179,-1.3568458967969395,-917.93258017517,-88.69376092144023
49,17845.343669872647,2.732160342197801,0.009750891009669152,-0.009588164675584342,-0.7594202681657324,-917.962648984635,-89.48324999907106
50,17455.40678164995,0.40095334035762065,0.001770532784200955,-0.009750891009669152,3.8022320977090813,-920.2938559864753,-88.0122249032022
51,17528.91085613483,0.34980987969854027,0.0016119694783622977,-0.001770532784200955,-0.13014137364783096,-920.3449994471343,-88.19350973750909
52,17446.150692598432,0.13542462131005095,0.0006957915315615472,-0.0016119694783622977,0.1334068576449446,-920.5593847055229,-88.27448813825276
53,17300.054740358093,0.030110413212523834,0.00017820407658463244,-0.0006957915315615472,0.1016523263642482,-920.6646989136204,-88.27815001998601
54,17435.96644961674,0.02957806027833243,0.00018273044198276872,-0.00017820407658463244,-0.024220020645475997,-920.6652312665545,-88.30290239356555
55,17666.029016575954,0.05004012227135757,0.00031315504630012163,-0.00018273044198276872,-0.04203943454414777,-920.6447692045615,-88.32447976611661
56,17876.653809268195,0.07272830755170467,0.0004684092697559715,-0.00031315504630012163,-0.06595821670749212,-920.6220810192812,-88.36774979754375
57,17690.74295283299,0.005467326323881583,4.396568484378852e-05,-0.0004684092697559715,0.08708236850252227,-920.689342000509,-88.3479284102691
58,17624.056998167423,0.0004592212586039812,4.500233694164376e-06,-4.396568484378852e-05,0.002931893666333403,-920.6943501055744,-88.35000462166818
59,17699.872181659197,6.645988902880852e-05,7.753053084578584e-07,-4.500233694164376e-06,-0.00034118604327893387,-920.6947428669439,-88.35073856908105
60,17920.891928905647,2.174808139201838e-05,2.9893579155026594e-07,-7.753053084578584e-07,-0.00017135778331418656,-920.6947875787515,-88.35095463867196
